home_name,score,ht_score,away_name,id
FC Sevastopol,1 - 0,0 - 0,Legion-Dynamo,519024
Biolog Novokubansk,3 - 2,2 - 1,FC Spartak Nalchik,519025
Kuban Holding Pavlovskaya,1 - 1,0 - 0,FK Angusht Nazran,519026
Marines,2 - 1,0 - 0,Police FC,519029
APR FC,1 - 0,1 - 0,Kiyovu Sports,519030
Backa Topola,3 - 2,2 - 1,Vojvodina,519031
Komarno,2 - 0,1 - 0,FC STK 1914 Samorin,519032
Radomlje,1 - 2,1 - 1,NS Mura,519033
Baroka FC,0 - 3,0 - 1,Casric Stars,519034
JDR Stars,0 - 0,0 - 0,Venda FC,519035
Platinum City Rovers,1 - 3,0 - 1,Milford,519036
Upington City,1 - 0,1 - 0,Black Leopards FC,519037
University Of Pretoria Fc,0 - 1,0 - 0,Magesi,519038
Lamontville Golden Arrows,1 - 1,1 - 0,Real Kings FC,519039
IFK Gothenburg,1 - 1,1 - 1,IFK Norrkoeping,519041
Sirius,0 - 1,0 - 1,IFK Vaernamo,519042
Oestersunds FK,1 - 1,0 - 0,Oergryte IS,519043
Utsiktens,1 - 0,1 - 0,GIF Sundsvall,519044
Al-Wahda,2 - 0,0 - 0,Horriya,519045
Al-Sahel,5 - 0,1 - 0,Al-Jaish,519046
Al-Ittihad,1 - 2,1 - 2,Al Taliya,519047
Ratchaburi FC,1 - 4,0 - 2,Buriram United,519048
Giresunspor,0 - 3,0 - 1,Goztepe,519049
Konyaspor,0 - 2,0 - 1,Alanyaspor,519050
Bidco FC,2 - 0,1 - 0,Express,519051
Danubio,1 - 1,1 - 0,Cerro Largo,519053
Platinum,2 - 2,0 - 0,Bikita Minerals,519054
Green Fuel,0 - 0,0 - 0,Herentals,519056
FC Lahti,1 - 1,0 - 1,Haka,519075
Anagennisi Artas,1 - 0,0 - 0,Trikala,519078
Apollon Smirnis,0 - 1,0 - 0,Ellopiakos,519079
Nkwazi,1 - 1,1 - 1,Forest Rangers,519080
Power Dynamos,0 - 2,0 - 1,Nkana,519081
Perak,2 - 3,1 - 0,Selangor,519082
Galaxy,2 - 0,1 - 0,Morupule Wanderers FC,519087
Orapa United,2 - 0,2 - 0,Eleven Angels,519088
Sua Flamingoes,1 - 0,1 - 0,Matebele FC,519089
VTM FC,3 - 1,1 - 1,Botswana Police XI SC,519090
Omonia 29IS Maiou,1 - 2,0 - 1,Omonia Aradippou,519091
Akritas Chlorakas,3 - 0,1 - 0,Onisilos Sotira,519092
ENAD,1 - 2,0 - 1,Ermis Aradippou,519093
PAEEK,3 - 1,2 - 0,Digenis Akritas M.,519094
PO Xylotympou 2006,2 - 5,0 - 4,MEAP Nisou,519095
Asil Lisis,3 - 2,2 - 1,A.o. Ayias Napas,519096
Eny Digenis Ipsonas,1 - 5,1 - 2,Olympiakos Nicosia,519097
Peyia,1 - 4,0 - 2,Enosis Paralimni,519098
FC Heidenheim,1 - 2,0 - 1,RasenBallsport Leipzig,519099
FC Cologne,0 - 2,0 - 0,Darmstadt,519100
Hoffenheim,4 - 3,1 - 1,Borussia Moenchengladbach,519101
Wolfsburg,1 - 0,1 - 0,Bochum,519102
Sparta Roterdam II,1 - 2,1 - 1,SV Spakenburg,519103
FC Baltika Kaliningrad,2 - 1,0 - 0,Krylya Sovetov Samara,519104
Zeleziarne Podbrezova,1 - 2,0 - 1,Zilina,519105
CE Andratx,0 - 0,0 - 0,SD Formentera,519106
Basel II,4 - 1,1 - 1,Delemont,519107
Young Boys II,2 - 0,0 - 0,FC Bulle,519108
Zarzis,0 - 3,0 - 1,Stade Tunisien,519109
Masafi,0 - 0,0 - 0,Masfut,519116
Gulf United,1 - 2,0 - 0,Al Taawon,519117
Tafic FC,1 - 3,1 - 1,Nico United,519118
Bregalnica Stip,0 - 1,0 - 0,FK Rabotnicki Skopje,519119
Karaorman Struga,0 - 2,0 - 1,Pobeda,519121
Kozuv Gevgelija,2 - 0,1 - 0,Osogovo,519122
Skopje,2 - 0,1 - 0,Teteks,519123
Sasa,1 - 3,0 - 2,Novaci,519124
Aresimi,0 - 2,0 - 1,Besa Doberdoll,519125
Pelister,1 - 0,0 - 0,Ohrid,519126
Vardar Negotino,1 - 0,0 - 0,Bashkimi Kumanovo,519127
Cliftonville,2 - 0,1 - 0,Glentoran,519128
Coleraine,0 - 2,0 - 2,Crusaders,519129
Ballymena United,4 - 0,2 - 0,Newry City AFC,519130
Carrick Rangers,2 - 1,2 - 1,Loughgall,519131
Dungannon Swifts,2 - 0,1 - 0,Glenavon,519132
Egersund,3 - 1,2 - 1,Aalesund,519133
Levanger,1 - 2,0 - 2,Kongsvinger,519134
Ranheim,2 - 2,0 - 1,Aasane,519135
Zr Temouchent,1 - 0,1 - 0,MCB Oued Sly,519136
Raufoss Fotball,0 - 1,0 - 0,Bryne,519137
Kolea,2 - 3,2 - 2,SC Mechria,519138
Sogndal,1 - 0,0 - 0,Moss FK,519139
Start,1 - 1,1 - 0,Sandnes,519143
NA Hussein Dey,1 - 0,1 - 0,RC Arbaa,519144
Olympique de Medea,1 - 3,1 - 1,RC Kouba,519145
Flekkerøy IL,2 - 2,2 - 1,Kvik Halden FK,519147
WA Mostaganem,2 - 0,0 - 0,GC Mascara,519148
FC Alania Vladikavkaz,1 - 2,0 - 0,FC Volgar,519151
FC Kamaz Naberezhnye Chelny,1 - 0,0 - 0,FC Chernomorets Novorossiysk,519152
Oud-Heverlee,1 - 0,0 - 0,St.Truiden,519153
Shinnik Yaroslavl,0 - 1,0 - 1,FK Makhachkala,519154
Sloga Doboj,0 - 2,0 - 0,Zrinjski Mostar,519155
FC Murom,3 - 2,1 - 0,FC Chelyabinsk,519156
FC Chernomorets Balchik,6 - 0,1 - 0,Bdin Vidin,519157
PFC Dobrudzha Dobrich,4 - 1,1 - 0,Maritsa Plovdiv,519158
Litex Lovech,2 - 0,0 - 0,Chernomorets Burgas,519159
Arbroath,1 - 2,0 - 0,Greenock Morton,519160
Montana,1 - 3,0 - 1,Belasitsa Petrich,519161
Dundee United,1 - 0,0 - 0,Ayr United,519162
Spartak Pleven,0 - 1,0 - 0,Sportist Svoge,519163
Dunfermline Athletic,0 - 0,0 - 0,Queen's Park,519164
Strumska Slava,1 - 2,1 - 1,PFC Spartak Varna,519165
Partick Thistle,4 - 0,0 - 0,Airdrieonians,519166
Edinburgh City,1 - 2,1 - 1,Annan Athletic,519167
Falkirk,2 - 2,2 - 2,Kelty Hearts,519168
Montrose,1 - 2,1 - 1,Hamilton Academical,519169
Tonbridge Angels,2 - 2,0 - 1,St.Albans,519170
Stirling Albion,0 - 0,0 - 0,Queen of South,519171
FC Slovan Rosice,0 - 0,0 - 0,Frydek-Mistek,519172
Worthing,4 - 2,3 - 2,Weston Super Mare,519173
Bonnyrigg Rose,0 - 1,0 - 0,Spartans FC,519174
Dartford,2 - 1,1 - 0,Truro City,519175
Clyde,2 - 2,1 - 1,Stenhousemuir,519176
Weymouth,1 - 2,1 - 1,Farnborough,519177
Banbury United,0 - 3,0 - 1,Tamworth,519178
Maidstone,5 - 1,2 - 1,Hampton & Richmond,519179
Elgin City,1 - 1,1 - 0,Peterhead,519180
Bishops Stortford,0 - 0,0 - 0,Curzon Ashton,519181
Aveley,2 - 0,1 - 0,Bath City,519182
Forfar Athletic,2 - 1,0 - 1,East Fife,519183
Blyth Spartans,1 - 5,0 - 4,Brackley Town,519184
Torquay United,5 - 0,4 - 0,Havant and Waterlooville,519185
Stranraer,0 - 0,0 - 0,Dumbarton,519186
Chester FC,0 - 0,0 - 0,Darlington,519187
Gloucester City,1 - 2,1 - 0,Scunthorpe United,519188
Farsley Celtic,2 - 0,1 - 0,Buxton,519189
FK Indjija,0 - 1,0 - 1,Tekstilac Odzaci,519190
South Shields,3 - 0,2 - 0,Southport,519191
Smederevo 1924,1 - 0,0 - 0,Radnicki Sremska Mitrovica,519192
Taunton Town,0 - 0,0 - 0,Hemel Hempstead,519194
Hereford,0 - 2,0 - 0,Boston United,519195
Dover,1 - 3,0 - 2,Yeovil Town,519196
Peterborough Sports,1 - 3,0 - 2,Chorley,519197
Chippenham Town,1 - 1,0 - 1,Chelmsford,519198
Rushall Olympic,0 - 0,0 - 0,Warrington Town,519199
Scarborough Athletic,0 - 1,0 - 1,Alfreton Town,519201
Braintree Town,2 - 3,1 - 1,Eastbourne Borough,519202
Slough Town,1 - 1,0 - 0,Welling United,519203
Spennymoor Town FC,3 - 0,1 - 0,Kings Lynn Town,519205
Newport County,0 - 1,0 - 0,Salford City,519206
Mansfield Town,2 - 1,0 - 1,Gillingham,519209
Real Oviedo B,0 - 1,0 - 0,Compostela,519210
Tranmere Rovers,3 - 2,2 - 0,AFC Wimbledon,519213
Real Sociedad B,2 - 0,1 - 0,Fuenlabrada,519214
Morecambe,1 - 2,1 - 2,Forest Green Rovers,519217
Walsall,2 - 3,2 - 2,Bradford City,519220
Karlstad BK,1 - 4,0 - 2,FC Stockholm Internazionale,519222
Grimsby Town,2 - 0,0 - 0,Swindon Town,519224
Sollentuna FF,2 - 2,0 - 1,FBK Karlstad,519226
Harrogate,3 - 5,2 - 2,Milton Keynes Dons,519228
Cardiff City,2 - 1,0 - 1,Southampton,519229
Eskilsminne IF,1 - 3,0 - 1,Joenkoepings Soedra,519230
Doncaster Rovers,4 - 2,0 - 2,Barrow,519231
Huddersfield Town,0 - 4,0 - 0,Swansea City,519232
Lunds BK,3 - 2,1 - 2,Trollhättan,519233
Oskarshamns AIK,1 - 1,1 - 0,Torslanda IK,519236
Norwich City,1 - 1,0 - 0,Bristol City,519237
Maccabi Tel Aviv,4 - 0,2 - 0,Hapoel Haifa,519238
Rotherham United,0 - 0,0 - 0,Birmingham City,519239
Notts County,1 - 0,0 - 0,Colchester United,519242
Stoke City,3 - 0,2 - 0,Plymouth Argyle,519243
FC Koeniz,2 - 1,0 - 1,Black Stars,519244
Stockport County,4 - 2,2 - 1,Accrington Stanley,519245
Solothurn,3 - 2,1 - 1,FC Concordia Basel,519246
Sunderland,0 - 1,0 - 0,Millwall,519247
Sutton United,2 - 2,0 - 1,Crawley Town,519249
Watford,0 - 0,0 - 0,Hull City,519250
FC Breitenrain,0 - 1,0 - 1,Etoile Carouge,519251
FC Goa,2 - 1,2 - 1,Chennaiyin FC,519252
Luzern II,3 - 2,1 - 1,Cham,519253
Blackpool,3 - 2,2 - 0,Barnsley,519255
FC Rapperswil-Jona,2 - 0,0 - 0,Paradiso,519257
Bolton Wanderers,2 - 0,0 - 0,Port Vale,519259
Fc Zuerich II,0 - 4,0 - 2,FC Bavois,519261
Bristol Rovers,0 - 2,0 - 1,Peterborough United,519264
Kaisar Kyzylorda,1 - 3,0 - 1,Aktobe,519266
Burton Albion,3 - 2,3 - 1,Reading,519267
Cambridge United,0 - 1,0 - 1,Derby County,519269
Carlisle United,1 - 3,1 - 1,Wycombe Wanderers,519273
Charlton Athletic,1 - 1,0 - 1,Shrewsbury Town,519277
Cheltenham Town,1 - 2,1 - 1,Lincoln City,519281
Leyton Orient,0 - 1,0 - 0,Fleetwood Town,519285
Hatta,1 - 1,1 - 0,Emirates Club,519287
Portsmouth,1 - 2,0 - 1,Wigan Athletic,519290
VJS,3 - 1,1 - 0,Honka,519292
HK Kopavogs,0 - 2,0 - 0,FH Hafnarfjordur,519312
Sheffield United,1 - 4,0 - 2,Burnley,519314
Luton Town,1 - 5,0 - 2,Brentford,519315
FCI Levadia,1 - 1,1 - 0,Paernu Linnameeskond,519322
Academica,1 - 0,0 - 0,Lusitania FC Lourosa,519382
Rostov Youth,1 - 2,1 - 0,Rubin Yalta,519383
Young Africans,2 - 1,2 - 0,Simba SC,519384
Al-Dhafra,4 - 2,1 - 0,Dubai City,519386
Rayo Vallecano,2 - 1,0 - 1,Osasuna,519388
Racing Santander,0 - 0,0 - 0,Levante,519389
Villarreal II,1 - 0,0 - 0,Racing Ferrol,519390
Catanzaro,0 - 0,0 - 0,Cremonese,519391
Calcio Lecco 1912,1 - 2,1 - 0,Venezia,519392
Spezia,0 - 0,0 - 0,Sampdoria,519393
FC Sudtirol,0 - 0,0 - 0,Cittadella,519394
Marsaxlokk,1 - 0,1 - 0,Floriana FC,519395
Sliema Wanderers FC,0 - 0,0 - 0,Naxxar Lions,519396
FA Siauliai,1 - 0,0 - 0,Dainava,519403
Progresul Pecica,4 - 1,1 - 0,Gloria Cermei,519405
Soimii Lipova,0 - 0,0 - 0,Avantul Periam,519406
Stiinta Miroslava,1 - 1,0 - 0,CSM Bacau,519407
Unirea Alba Iulia,2 - 1,1 - 1,Avantul Reghin,519408
Ingolstadt,2 - 0,1 - 0,Duisburg,519413
Lija Athletic,0 - 4,0 - 2,Zebbug Rangers,519414
Grbalj Radanovici,0 - 4,0 - 2,Otrant-Olympic,519415
FK Lovcen,0 - 0,0 - 0,FK Berane,519416
Igalo,2 - 0,1 - 0,Kom,519417
ADO Den Haag,1 - 1,1 - 0,FC Eindhoven,519418
Academica Petroleos do Lobito,0 - 4,0 - 3,Petro Atletico,519419
Moreirense,0 - 1,0 - 1,Gil Vicente,519420
Santa Clara,1 - 0,0 - 0,Tondela,519421
FC U Craiova 1948 SA,1 - 1,0 - 1,Dinamo Bucuresti,519422
Humenne,0 - 2,0 - 2,FC Petrzalka 1898,519423
MFK Tatran Liptovsky Mikulas,1 - 3,1 - 3,FK Puchov,519424
Tatran Presov,4 - 1,3 - 1,Povazska Bystrica,519425
OFK Malzenice,3 - 0,3 - 0,MFK Dolny Kubin,519426
Kiffen,2 - 4,1 - 2,Atlantis II,519427
CS Blejoi,1 - 1,1 - 0,Gloria Popesti Leordeni,519437
Hebar Pazardzhik,0 - 3,0 - 2,Ludogorets Razgrad,519438
OPS,2 - 2,2 - 1,Narpes Kraft,519441
Nantes,0 - 3,0 - 0,Rennes,519442
Karela FC,1 - 1,0 - 0,Accra Lions,519443
Legon Cities,2 - 0,0 - 0,Hearts of Oak,519444
Ferencvaros,0 - 0,0 - 0,Kisvarda FC,519445
Bnei Sakhnin,0 - 2,0 - 0,Maccabi Bnei Raina FC,519448
Maccabi Netanya,1 - 0,1 - 0,Hapoel Katamon Jerusalem,519449
FC Zaria,0 - 3,0 - 1,CS Petrocub,519450
Internacional Podgorica,1 - 4,0 - 3,Mladost Ljeskopolje,519451
FC Torpedo Moscow,1 - 1,1 - 0,Arsenal Tula,519452
Al Akhdoud,1 - 2,0 - 2,Dhamk,519453
Nd Bilje,0 - 2,0 - 0,Nk Nafta Lendava,519454
Fuzinar,0 - 2,0 - 1,Gorica,519455
Orlando Pirates,1 - 0,0 - 0,AmaZulu FC,519456
Sekhukhune United,1 - 0,0 - 0,Ajax Cape Town,519457
Paradou AC,1 - 0,1 - 0,El Bayadh,519458
Austria Wien,3 - 0,2 - 0,Wattens,519459
Coruxo,1 - 2,1 - 0,RC Deportivo Fabril,519460
San Juan,3 - 0,3 - 0,U. Mutilvera,519461
Altach,2 - 2,1 - 1,BW Linz,519462
Sabadell,2 - 1,1 - 1,Cornellà,519463
Wolfsberger AC,1 - 1,1 - 1,Austria Lustenau,519464
Zira,3 - 1,1 - 1,FK Neftchi,519465
Slavia Mozyr,1 - 1,1 - 1,Dinamo Brest,519466
Osijek,1 - 2,1 - 1,NK Istra 1961,519467
Pribram,1 - 1,1 - 1,Mas Taborsko,519468
SK Lisen,1 - 2,1 - 0,SK Sigma Olomouc B,519469
St. Gallen II,3 - 0,2 - 0,SC Kriens,519470
Vorskla,0 - 2,0 - 0,Kolos Kovalivka,519477
Abia Warriors FC,1 - 0,0 - 0,Bayelsa United FC,519478
Drina Zvornik,3 - 0,2 - 0,Rudar Prijedor,519487
Famos Vojkovici,0 - 0,0 - 0,FK Radnik Bijeljina,519491
Sibenik,2 - 1,1 - 0,Solin,519502
NK Vukovar 91,1 - 1,1 - 0,Dugopolje,519503
Arsenal Ceská Lipa,3 - 1,2 - 0,Pardubice II,519504
TJ Slovan Velvary,1 - 1,0 - 0,SK Zapy,519505
Bratstvo Gracanica,6 - 3,2 - 1,Gornji Rahic,519507
Rudar Kakanj,3 - 0,2 - 0,Gradina Srebrenik,519508
Sloboda Tuzla,0 - 0,0 - 0,Radnik Hadzici,519510
OFI Crete,2 - 1,1 - 0,Volos Nps,519512
Ruch Chorzow,2 - 3,1 - 2,Widzew Lodz,519513
Gornik Leczna,0 - 1,0 - 0,Lechia Gdansk,519514
Sandecja Nowy Sacz,0 - 1,0 - 1,Hutnik Nowa Huta,519515
Al Mesaimeer,2 - 1,1 - 0,Al Waab,519516
Al Shahaniya,3 - 1,1 - 1,Al-Kharitiyat,519517
Al-Sailiya SC,0 - 2,0 - 0,Al Khoor,519518
Lusail City,1 - 1,1 - 0,Al Bidda,519519
Olimpija Ljubljana,5 - 0,1 - 0,Aluminij,519520
Malmoe FF,1 - 0,0 - 0,Vaesteraas SK,519521
VPS,3 - 2,2 - 1,Gnistan,519522
Empoli,1 - 0,1 - 0,SSC Napoli,519532
AS Jeunesse Esch,3 - 1,1 - 1,Marisca Mersch,519533
FC Mondercange,2 - 1,1 - 0,FC Progres Niedercorn,519534
FC Differdange 03,2 - 0,0 - 0,Swift Hesperange,519535
US Mondorf les Bains,2 - 1,2 - 0,Union Titus Petange,519536
FK Iskra,0 - 2,0 - 2,FK Bokelj,519537
Ittihad Tanger,2 - 1,1 - 1,FUS Rabat,519538
Partizan,2 - 0,1 - 0,Dinamo Tirana,519539
Teuta Durres,0 - 0,0 - 0,Vllaznia Shkodër,519540
De Treffers,2 - 1,1 - 0,FC Lisse,519541
Lyn FK,1 - 1,1 - 1,Vaalerenga,519542
Alverca FC,1 - 1,0 - 0,Felgueiras 1932,519543
A.E. Zakakiou,2 - 5,2 - 1,Karmiotissa Pano Polemidion,519544
Teplice,2 - 2,2 - 1,SK Dynamo Ceske Budejovice,519545
Karlovy Vary,6 - 2,5 - 1,Sokol Hostouň,519546
FK Crvena Zvezda,3 - 2,1 - 1,Partizan Beograd,519547
DAC 1904 Dunajska Streda,0 - 0,0 - 0,Ruzomberok,519548
Zlate Moravce,0 - 1,0 - 0,Dukla Banska Bystrica,519549
Zemplin Michalovce,1 - 3,1 - 1,Skalica,519550
La Nucia,2 - 0,1 - 0,CE Manresa,519551
CD Teruel,1 - 0,1 - 0,Sestao River Club,519552
Algeciras,2 - 3,0 - 2,Antequera,519553
Welayta Dicha,1 - 0,0 - 0,Kedus Giorgis,519554
FC Vaduz,3 - 1,1 - 1,Wil,519555
Servette,1 - 0,1 - 0,Grasshopper,519556
Yverdon,3 - 0,1 - 0,FC Stade Ls Ouchy,519557
Eyupspor,0 - 0,0 - 0,Boluspor,519558
